Product ID,Product Name,Current Price,Original Price,Discount,Stock Status,Sizes,URL,Event Type,Timestamp,Image,Category,Variants
113821513,L'OCCITANE Shea Butter Collection Bodycare Gift Set,32.50,65.00,50.00,In Stock,One Size,https://www.johnlewis.com/loccitane-shea-butter-collection-bodycare-gift-set/p113821513,New,2026-01-08 08:29:47,https://media.johnlewiscontent.com/i/JohnLewis/113821492,Beauty & Fragrance,
114060806,Tweezerman Vintage Rose Lash Gift Set,12.50,25.00,50.00,In Stock,One Size,https://www.johnlewis.com/tweezerman-vintage-rose-lash-gift-set/p114060806,New,2026-01-08 08:29:44,https://media.johnlewiscontent.com/i/JohnLewis/114060287,Beauty & Fragrance,
110638821,Stoneglow Orris & Ylang Ylang Bath Gift Set,27.50,55.00,50.00,In Stock,One Size,https://www.johnlewis.com/stoneglow-orris-ylang-ylang-bath-gift-set/p110638821,New,2026-01-08 08:29:42,https://media.johnlewiscontent.com/i/JohnLewis/110635441,Beauty & Fragrance,
114028010,OUAI Merry On Melrose Christmas Haircare Gift Set,16.50,33.00,50.00,In Stock,One Size,https://www.johnlewis.com/ouai-merry-on-melrose-christmas-haircare-gift-set/p114028010,New,2026-01-08 08:29:39,https://media.johnlewiscontent.com/i/JohnLewis/114027984,Beauty & Fragrance,
114379547,MALIN + GOETZ In Good Hands Hand & Lip Moisturiser Duo Ornament Holiday Skincare Gift Set,11.50,23.00,50.00,In Stock,One Size,https://www.johnlewis.com/malin-goetz-in-good-hands-hand-lip-moisturiser-duo-ornament-holiday-skincare-gift-set/p114379547,New,2026-01-08 08:29:36,https://media.johnlewiscontent.com/i/JohnLewis/114379524,Beauty & Fragrance,
113821519,L'OCCITANE Fleurs de Cerisier (Cherry Blossom) Collection Bodycare Gift Set,20.00,40.00,50.00,In Stock,One Size,https://www.johnlewis.com/loccitane-fleurs-de-cerisier-cherry-blossom-collection-bodycare-gift-set/p113821519,New,2026-01-08 08:29:33,https://media.johnlewiscontent.com/i/JohnLewis/113821489,Beauty & Fragrance,
114017013,Benefit Lash Cleanse Go Mascara and Oil Cleanser Stocking Filler Makeup Gift Set,10.00,20.00,50.00,In Stock,One Size,https://www.johnlewis.com/benefit-lash-cleanse-go-mascara-and-oil-cleanser-stocking-filler-makeup-gift-set/p114017013,New,2026-01-08 08:29:30,https://media.johnlewiscontent.com/i/JohnLewis/114016938,Beauty & Fragrance,
114379521,MALIN + GOETZ Make It A Double Rum Hand & Body Duo Holiday Bodycare Gift Set,24.50,49.00,50.00,In Stock,One Size,https://www.johnlewis.com/malin-goetz-make-it-a-double-rum-hand-body-duo-holiday-bodycare-gift-set/p114379521,New,2026-01-08 08:29:27,https://media.johnlewiscontent.com/i/JohnLewis/114379520,Beauty & Fragrance,
114127170,Ghost Orb of Night Eau de Parfum 10ml Mini Fragrance Gift Set,6.75,13.50,50.00,In Stock,One Size,https://www.johnlewis.com/ghost-orb-of-night-eau-de-parfum-10ml-mini-fragrance-gift-set/p114127170,New,2026-01-08 08:29:24,https://media.johnlewiscontent.com/i/JohnLewis/114127056,Beauty & Fragrance,
114133543,Molton Brown Cypress & Sea Fennel Festive Bauble,6.40,12.80,50.00,In Stock,One Size,https://www.johnlewis.com/molton-brown-cypress-sea-fennel-festive-bauble/p114133543,New,2026-01-08 08:29:21,https://media.johnlewiscontent.com/i/JohnLewis/114133230,Beauty & Fragrance,
114028011,OUAI Healthy Hair Is On The OUAI Christmas Haircare Gift Set,27.50,55.00,50.00,In Stock,One Size,https://www.johnlewis.com/ouai-healthy-hair-is-on-the-ouai-christmas-haircare-gift-set/p114028011,New,2026-01-08 08:29:19,https://media.johnlewiscontent.com/i/JohnLewis/114027983,Beauty & Fragrance,
114017039,Benefit Glam-A-Grams Full Face Makeup Gift Set,26.25,52.50,50.00,In Stock,One Size,https://www.johnlewis.com/benefit-glam-a-grams-full-face-makeup-gift-set/p114017039,New,2026-01-08 08:29:15,https://media.johnlewiscontent.com/i/JohnLewis/114016934,Beauty & Fragrance,
114133528,Molton Brown Delicious Rhubarb & Rose Festive Bauble,6.40,12.80,50.00,In Stock,One Size,https://www.johnlewis.com/molton-brown-delicious-rhubarb-rose-festive-bauble/p114133528,New,2026-01-08 08:29:12,https://media.johnlewiscontent.com/i/JohnLewis/114133233,Beauty & Fragrance,
114133522,"Molton Brown Rose Dunes Eau de Parfum, 100ml",70.00,140.00,50.00,In Stock,One Size,https://www.johnlewis.com/molton-brown-rose-dunes-eau-de-parfum-100ml/p114133522,New,2026-01-08 08:29:09,https://media.johnlewiscontent.com/i/JohnLewis/114133234,Beauty & Fragrance,
114379620,"MALIN + GOETZ Scent The Mood Votive Candle Holiday Gift Set, 4 x 67g",36.00,72.00,50.00,In Stock,One Size,https://www.johnlewis.com/malin-goetz-scent-the-mood-votive-candle-holiday-gift-set-4-x-67g/p114379620,New,2026-01-08 08:29:06,https://media.johnlewiscontent.com/i/JohnLewis/114379561,Beauty & Fragrance,
113908823,"Slip® Pure Silk Hair Bow, Crimson",24.50,49.00,50.00,In Stock,One Size,https://www.johnlewis.com/slip-pure-silk-hair-bow-crimson/p113908823,New,2026-01-08 08:29:03,https://media.johnlewiscontent.com/i/JohnLewis/113908531,Beauty & Fragrance,
114379522,MALIN + GOETZ The Bright Side Bergamot Essentials Holiday Bodycare Gift Set,37.50,75.00,50.00,In Stock,One Size,https://www.johnlewis.com/malin-goetz-the-bright-side-bergamot-essentials-holiday-bodycare-gift-set/p114379522,New,2026-01-08 08:28:59,https://media.johnlewiscontent.com/i/JohnLewis/114379519,Beauty & Fragrance,
114127169,Ariana Grande Cloud Eau de Parfum 50ml Christmas Fragrance Gift Set,24.00,48.00,50.00,In Stock,One Size,https://www.johnlewis.com/ariana-grande-cloud-eau-de-parfum-50ml-christmas-fragrance-gift-set/p114127169,New,2026-01-08 08:28:57,https://media.johnlewiscontent.com/i/JohnLewis/114127163,Beauty & Fragrance,
